UPC/EAN (GTIN),Master Box #,Style Name,Size,Quantity,FNSKU,Amazon Labels,Referencia,Box,Style #,UPC,EAN,DONE
453901,Box 1 - ARIZONA EVA WHITE 37,ARIZONA EVA WHITE,37,12,X004IXFTO3,FBA19QHGWM04U000501,453901,1,129443,886454424865,4052001424862,False
453901,Box 2 - ARIZONA BF BLACK 44,ARIZONA BF BLACK,44,12,X0049PN01T,FBA19QHGWM04U000001,453901,2,51791,736399035445,4013871035442,False
453901,Box 3 - SET ASIDE (NO VA A AMAZON) - BOSTON LEVE OYSTER 43,BOSTON LEVE OYSTER,43,8,,SET ASIDE,453901,3,1031623,192762967537,4067707730865,False
453901,Box 4 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000073,453901,4,51791,736399020274,4013871020271,False
453901,Box 5 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 41,ARIZONA SB EVA SURF GREEN,41,8,,SET ASIDE,453901,5,1029744,192762526147,4067707144709,False
453901,Box 6 - SET ASIDE (NO VA A AMAZON) - ARIZONA BFBC GRAY TAUPE 38,ARIZONA BFBC GRAY TAUPE,38,12,,SET ASIDE,453901,6,1032019,192763097530,4067707903382,False
453901,Box 7 - SET ASIDE (NO VA A AMAZON) - BOSTON LEVE OYSTER 40,BOSTON LEVE OYSTER,40,8,,SET ASIDE,453901,7,1031623,192762967445,4067707730742,False
453901,Box 8 - ARIZONA BFBC MOCCA 37,ARIZONA BFBC MOCCA,37,12,X004WEFBWX,FBA19QHGWM04U000389,453901,8,151181,809410059161,4040714059167,False
453901,Box 9 - BOSTON EVA BLACK 38,BOSTON EVA BLACK,38,12,X004IX4R9V,FBA19QHGWM04U000548,453901,9,127103,886454652473,4052001652470,False
453901,Box 10 - ARIZONA BFBC MOCCA 40,ARIZONA BFBC MOCCA,40,12,X004WEF0PL,FBA19QHGWM04U000423,453901,10,151181,809410059192,4040714059198,False
453901,Box 11 - ARIZONA EVA BLACK 44,ARIZONA EVA BLACK,44,8,X004IWYKL7,FBA19QHGWM04U000540,453901,11,129421,886454426517,4052001426514,False
453901,Box 12 - ARIZONA EVA BLACK 44,ARIZONA EVA BLACK,44,8,X004IWYKL7,FBA19QHGWM04U000541,453901,12,129421,886454426517,4052001426514,False
453901,Box 13 - BOSTON NU OILED HABANA 41,BOSTON NU OILED HABANA,41,8,X005BB9KOB,FBA19QHGWM04U000467,453901,13,860131,809410438171,4040714438177,False
453901,Box 14 - BOSTON EVA EGGSHELL 38,BOSTON EVA EGGSHELL,38,12,X004IXJK2P,FBA19QHGWM04U000312,453901,14,1027382,192761925293,4066648349549,False
453901,Box 15 - ARIZONA BF BLACK 41,ARIZONA BF BLACK,41,12,X0052EKNM5,FBA19QHGWM04U000115,453901,15,51791,736399021240,4013871021247,False
453901,Box 16 - BOSTON EVA BLACK 39,BOSTON EVA BLACK,39,12,X004IX7WLL,FBA19QHGWM04U000552,453901,16,127103,886454652480,4052001652487,False
453901,Box 17 - ARIZONA BFBC MOCCA 40,ARIZONA BFBC MOCCA,40,12,X004WEF0PL,FBA19QHGWM04U000424,453901,17,151181,809410059192,4040714059198,False
453901,Box 18 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 40,ARIZONA SB EVA SURF GREEN,40,12,,SET ASIDE,453901,18,1029744,192762526116,4067707144662,False
453901,Box 19 - ARIZONA EVA BLACK 43,ARIZONA EVA BLACK,43,8,X004IXFTDJ,FBA19QHGWM04U000530,453901,19,129421,886454426500,4052001426507,False
453901,Box 20 - ARIZONA EVA BLACK 42,ARIZONA EVA BLACK,42,12,X004IX6XQV,FBA19QHGWM04U000523,453901,20,129421,886454426494,4052001426491,False
453901,Box 21 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000263,453901,21,151181,809410059208,4040714059204,False
453901,Box 22 - SET ASIDE (NO VA A AMAZON) - ARIZONA SB EVA SURF GREEN 41,ARIZONA SB EVA SURF GREEN,41,8,,SET ASIDE,453901,22,1029744,192762526147,4067707144709,False
453901,Box 23 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000264,453901,23,151181,809410059208,4040714059204,False
453901,Box 24 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000265,453901,24,151181,809410059208,4040714059204,False
453902,Box 1 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000238,453902,1,151181,809410059185,4040714059181,False
453902,Box 2 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000074,453902,2,51791,736399020274,4013871020271,False
453902,Box 3 - ARIZONA BFBC MOCCA 38,ARIZONA BFBC MOCCA,38,12,X004QNRIK3,FBA19QHGWM04U000398,453902,3,151181,809410059178,4040714059174,False
453902,Box 4 - ARIZONA BFBC MOCCA 40,ARIZONA BFBC MOCCA,40,12,X004WEF0PL,FBA19QHGWM04U000425,453902,4,151181,809410059192,4040714059198,False
453902,Box 5 - ARIZONA BFBC MOCCA 39,ARIZONA BFBC MOCCA,39,12,X004WEBIS9,FBA19QHGWM04U000239,453902,5,151181,809410059185,4040714059181,False
453902,Box 6 - SET ASIDE (NO VA A AMAZON) - ARIZONA BFBC GRAY TAUPE 40,ARIZONA BFBC GRAY TAUPE,40,12,,SET ASIDE,453902,6,1032019,192763097592,4067707903467,False
453902,Box 7 - ARIZONA BF BLACK 42,ARIZONA BF BLACK,42,12,X0049PUDY1,FBA19QHGWM04U000349,453902,7,51791,736399023275,4013871023272,False
453902,Box 8 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000075,453902,8,51791,736399020274,4013871020271,False
453902,Box 9 - ARIZONA BFBC MOCCA 41,ARIZONA BFBC MOCCA,41,12,X0052HPEVR,FBA19QHGWM04U000266,453902,9,151181,809410059208,4040714059204,False
453902,Box 10 - ARIZONA BF BLACK 39,ARIZONA BF BLACK,39,12,X0052EHV6B,FBA19QHGWM04U000076,453902,10,51791,736399020274,4013871020271,False
453902,Box 11 - SET ASIDE (NO VA A AMAZON) - ARIZONA BFBC GRAY TAUPE 40,ARIZONA BFBC GRAY TAUPE,40,12,,SET ASIDE,453902,11,1032019,192763097592,4067707903467,False
453902,Box 12 - BOSTON NU OILED HABANA 41,BOSTON NU OILED HABANA,41,8,X005BB9KOB,FBA19QHGWM04U000468,453902,12,860131,809410438171,4040714438177,False
453902,Box 13 - BOSTON EVA EGGSHELL 38,BOSTON EVA EGGSHELL,38,12,X004IXJK2P,FBA19QHGWM04U000313,453902,13,1027382,192761925293,4066648349549,False
