PACKING LIST,630 UNIDADES,,,,,,,,,,,,,,,
Style,Size,Description,Pallet Salida,BOX O,EAN-CODE,UPC,QTY,MEDIDAS CAJAS EN PULGADAS,,,PESO (LBS),Shipment # 1,Set Aside,FNSKU,AMAZON Labels,OTHER SKU
129443,37,ARIZONA EVA WHITE,453901,1,4052001424862,886454424865,12,18,18,13,18,12,,X004IXFTO3,FBA19QHGWM04U000501,
51791,44,ARIZONA BF BLACK,453901,2,4013871035442,736399035445,12,18,18,13,18,12,,X0049PN01T,FBA19QHGWM04U000001,
1031623,43,BOSTON LEVE OYSTER,453901,3,4067707730865,192762967537,8,18,18,13,12,,8,,,
51791,39,ARIZONA BF BLACK,453901,4,4013871020271,736399020274,12,18,18,13,18,12,,X0052EHV6B,FBA19QHGWM04U000073,
1029744,41,ARIZONA SB EVA SURF GREEN,453901,5,4067707144709,192762526147,8,18,18,13,12,,8,,,
1032019,38,ARIZONA BFBC GRAY TAUPE,453901,6,4067707903382,192763097530,12,18,18,13,18,,12,,,
1031623,40,BOSTON LEVE OYSTER,453901,7,4067707730742,192762967445,8,18,18,13,12,,8,,,
151181,37,ARIZONA BFBC MOCCA,453901,8,4040714059167,809410059161,12,18,18,13,18,12,,X004WEFBWX,FBA19QHGWM04U000389,
127103,38,BOSTON EVA BLACK,453901,9,4052001652470,886454652473,12,18,18,13,18,12,,X004IX4R9V,FBA19QHGWM04U000548,
151181,40,ARIZONA BFBC MOCCA,453901,10,4040714059198,809410059192,12,18,18,13,18,12,,X004WEF0PL,FBA19QHGWM04U000423,
129421,44,ARIZONA EVA BLACK,453901,11,4052001426514,886454426517,8,18,18,13,12,8,,X004IWYKL7,FBA19QHGWM04U000540,
129421,44,ARIZONA EVA BLACK,453901,12,4052001426514,886454426517,8,18,18,13,12,8,,X004IWYKL7,FBA19QHGWM04U000541,
860131,41,BOSTON NU OILED HABANA,453901,13,4040714438177,809410438171,8,18,18,13,12,8,,X005BB9KOB,FBA19QHGWM04U000467,
1027382,38,BOSTON EVA EGGSHELL,453901,14,4066648349549,192761925293,12,18,18,13,18,12,,X004IXJK2P,FBA19QHGWM04U000312,
51791,41,ARIZONA BF BLACK,453901,15,4013871021247,736399021240,12,18,18,13,18,12,,X0052EKNM5,FBA19QHGWM04U000115,
127103,39,BOSTON EVA BLACK,453901,16,4052001652487,886454652480,12,18,18,13,18,12,,X004IX7WLL,FBA19QHGWM04U000552,
